equipo,No.,Objetivo,Tema,Descripción del proyecto,¿Cuál es el cambio que quieres alcanzar al final del proceso?,¿Por qué es relevante financiar el proyecto en este momento?,FINAL,Comentarios,Equipo,"¿Los objetivos son relevantes para el FRR y para Pulsante, y son posibles de alcanzar?__1"
1,21,"Fortalecer las condiciones de participación en el Sistema Integral de Verdad Justicia Reparación y No Repetición, a través de la creación de contenidos dirigidos a 50 mujeres familiares de militares y policías, de quienes buscan a las personas dadas por desaparecidas en razón y en contexto del conflicto armado, residentes en Cundinamarca, Antioquia, Cauca, Santander, Norte de Santander y de 50 mujeres víctimas de Reclutamiento forzado, desaparición y de violencia sexual durante su militancia en las filas de las antiguas FARC-EP y ELN.",Conflicto armado,"Facilitar que las familias de los miembros de la Fuerza Publica víctimas y excombatientes víctimas puedan conocer la ruta para exigir sus derechos en el Sistema Integral de Verdad Justicia Reparación y No Repetición, especialmente para garantizar su participación y acreditación como víctimas en los casos 01 y 07 de la Jurisdicción Especial para la Paz (JEP)","Permitir que estas familias, en especial mujeres que han sufrido el trasegar de la guerra y que no han sido visibilizadas, tenga la oportunidad de conocer la ruta de derechos en el sistema y que puedan acreditarse como víctimas en l caso 01 y 07 de la JEP.","Los acuerdos de PAZ firmados en la Habana - Cuba abrieron la posibilidad para que las víctimas de las FARC-EP que no han sido reconocidas y reparadas puedan acudir al sistema a reclamar verdad justicia reparación y no repetición, es por eso que en la actualidad el sistema a priorizado en especial la JEP abrieron casos sobre retenciones ilegales, en los cuales se investiga las posibles desapariciones cometidas contra miembros de la Fuerza Publica y el caso 07 que investiga el reclutamiento forzado de menores por parte del entonces grupo ilegal FARC-EP. lo que nos lleva a la importancia de que estas mujeres que representamos las organizaciones ACOMIDES y ROSA BLANCA puedan conocer y acceder si el caso al sistema para exigir sus derechos.",NA,NA,NA,NA
1,22,Facilitar el proceso idóneo de acompañamiento legal y social de adolescentes y mujeres que se enfrentan a situaciones de violencia digital a través de estrategias de capacitación y difusión vía online.,Violencia digital,"Brindar acompañamiento legal y social a mujeres que han sido víctimas de violencia en las redes sociales, dar a conocer en redes que se puede hacer cuando sus fotos o videos son difundidos en redes sociales, y promover una normativa para que las adolescentes que son las más afectadas puedan denunciar.","Que las adolescentes y mujeres tengan herramientas para poder denunciar, y que puedan hacerlo de manera segura y con perspectiva de género.","Actualmente es una gran cantidad de adolescentes y mujeres que no saben que hacer para poder denunciar, o bien para parar que se siga distribuyendo sus fotografías y videos, y si bien existen leyes en México donde se pueda lograr la denuncia, la realidad es muy diferente, las adolescentes y mujeres tienen miedo a denunciar y necesitamos visibilizar la información en medios de comunicación, con videos, fotos, y talleres, para que se pueda lograr que llegue al mayor número de adolescentes y mujeres esta información. 
 

 Es importante señalar que muchos de estos casos, llegan incluso a relacionarse con otros delitos, como lo es la trata de personas, violaciones sexuales, intimidación, entre otros, no es solo el compartir las fotos y vídeos.",No,"Es un proyecto normal, de hecho es muy parecido al seleccionado por Indela de Cultivando Género. Es dificil ya wue si esta en agenda pero no hay una coyuntura",NA,NA
1,23,"El reconocimiento constitucional de los pueblos Afromexicanos del estado de Chiapas, hacer valer sus derechos, luchar contra el racismo y visibilizar a la población Afro.",Derechos pueblos indígenas,Elaborar un documento en el que se plasmen los derechos de los pueblos Afromexicanos del estado de Chiapas y luchar por el reconocimiento constitucional.,"Que los pueblos Afromexicanos sean sujetos de derecho público y elegir nuestros representantes por usos y constumbres, que se nos asigne nuestros propios recursos para resolver las muchas carencias en educación, salud y demás en nuestra zona.","Porque los pueblos Afromexicanos del estado de Chiapas han sido invisibilizados y marginados por mucho tiempo y ya es justo que el estado nos reconozca y se nos tome en cuenta para la toma de decisiones políticas, y se nos asigne recursos para poder tener infraestructura digna en cuanto a salud, educación y demás.",No,"No responde a una ventana de oportunidad, es un proyecto común.",NA,NA
1,24,Posicionar propuestas campesinas en el ámbito del sector rural socia e institucional,Derechos pueblos indígenas,"Mediante acciones de contraloría
y cabildeo campesino se impulsará la reorientación del actual programa federal de Fertilizante químico, hacia la racionalización de este componente actual, incluyendo gradualmente componentes agroecologicos e implementando acciones de educación rural alternativa y acompañamiento técnico participativo..En paralelo se instrumentales la campaña yopracticoagroecologia","Que la incipiente organización de Comisariados evolucione al ámbito de la incidencia en políticas públicas rurales para que estás sean transparentes, justas y oportunas. Así mismos que sean agentes promotores de la agroecologia tanto en sus comunidades como en las instituciones.
 Construir un grupo campesino promotor con una dinámica organizativa que le permita ser incidente en la transformación de las formas actuales de producción agropecuaria, y de operacion de las políticas públicas dirigidas al campo. El manejo de medios y el cabildeo es una práctica que se busca alcanzar mediante el ejercicio práctico y la educación alternativa.","Porque el proceso de organización e incidencia a qué hacemos referencia (contraloría y cabildeo campesino) se encuentra en su fase de despegue en un contexto de adversidad en cuanto a ejercicio gubernamental y persistencia de piliticas públicas neoliberales. Si se fortalece este proceso puede ser un factor de cambio de prácticas productivas y de gobierno convencionales y neoliberales. Y si se avanza en resultados tangibles (consolidación organizativa, incorporación de prácticas agroecologicos, y transformación de políticas públicas) puede ser un ejemplo a seguir en otras entidades del país en donde hay un impasse en el movimiento campesino, y buscan opciones alternativas.
 Además, está iniciativa se ha mantenido con recursos propios y voluntarios limitados. Y no existen opciones de apoyo formal de ningún ámbito de gobierno.
 Cabe señalar que la incursión de los Comisariados Ejidales y comunales es algo completamente nuevo si consideramos que por varias décadas atrás estuvieron relegados de las políticas públicas. Y su incursión en el escenario rural y en el ámbito público es algo novedoso y prometedor. Por la manera en qué han incursionado al nuevo escenario (a ras de tierra, desde asambleas comunitarias), han roto viejos paradigmas que mueve a las organizaciones campesinas tradicionales a transformarse.",No,"No atiende una ventana de oportunidad.
La columna L y sobre todo la columna O, son interesantes para leer y ver una visión del sentir de algunos sectores...",NA,NA
1,25,"Acompañar, capacitar y asesorar a población vulnerable en recursos jurídicos y derechos humanos. Reconociendo sus derechos y deberes, pueden alcanzar el objetivo de reconocimiento. Pueblos étnicos, jóvenes, infancia, mujeres, adulto mayor. Desde distintas áreas derecho, sicología, trabajo social establecemos estrategias para estas poblaciones y generar salud mental, física y seguridad jurídica.",Derechos pueblos indígenas,Hace año y medio damos talleres gratuitos en barrios populares (ahora virtual y radio comunitaria) y brindamos campanas de asesorías virtuales en temas jurídicos y formación en derechos humanos para población en condición de pobreza.,"Una comunidad con más información y formación en temas del.dia a día que les permita tener cambios en sus vidas. Una mujer empoderada, una familia con la información jurídica tendrá más herramientas para vivir mejor.","Somos un grupo de jóvenes voluntarios, la mayoría estudiantes de distintas áreas humanas. Los recursos limitados nos permiten solo. Hacer algunas piezas publicitarias y llegamos a pocas personas. Tener un apoyo financiero nos ayudará a impactar más comunidad y crear campañas más eficientes.",No,"Si bien el tema es interesante, es un proyecto normal. No responde a una ventana de oportunidad. Plan de trabajo tradicional con organizacion de voluntarios.",NA,NA
1,26,"Implementar talleres virtuales que permitan generar espacios de sensibilización hacia la memoria desde la mirada de las víctimas del conflicto y no víctimas, con el ánimo de recuperar el legado ancestral, cultural, gastronómico y socioeconómico que se ha perdido a raíz del flagelo del conflicto interno armado, permitiendo ver desde otras miradas la realidad del país a partir de aperturar de espacios, donde se genere confianza para expresarse con libertad e intercambiar experiencias mediante los propios conocimientos frente al tema de paz y memoria histórica.",Conflicto armado,Talleres de sensibilización y reflexión para víctimas y no víctimas de conflicto armado para la sanación y reconciliación.,Generar reconciliación sobre los acontecimientos del conflicto armado.,Por ser una iniciativa que promueve el bienestar psicológico de las personas que han sufrido los desmanes del conflicto armado y desean superar dicha situacion mediante la apertura de sus sentimientos para iniciar con el proceso del perdón y la reconciliación.,No,"No responde a una ventana de oportunidad, es un proyecto común. El tema no es prioritario.",NA,NA
1,27,"Por medio de talleres virtuales se busca capacitar a lideres municipales con las herramientas para la identificacion, diseno, implementacion y mediciones de rutas ciclo peatonales en sus municipios. Parte central de la iniciativa es alivianar los bloqueos de rivalidades politicas en el ""Foro Nacional de La Nueva Movilidad"" donde se convocan a varios expertos y lideres politicos nacionales e internacionales para compartir las buenas practicas y visibilizar a aquellos que ya han sidos los pioneros en implementar politicas de la Nueva Movilidad.",Transporte público,Implementacion de rutas ciclo peatonales de emergencia que ayuden a movilizar a las poblaciones socioeconomicamente exlcuidas a nivel nacional.,"La incorporacion e implementacion de rutas ciclo peatonales que promuevan la movilidad incluyente, segura y sostenible dentro de los planes municipales a corto, mediano y largo plazo. En otras palabras, la aceleracion de la implementacion de los ODS en la implementacion de los planes de movilidad municipal.","En este momento se tiene una ventana de oportunidad unica donde el transporte publico y privado esta limitado, por lo que la adopcion de un modelo de rutas ciclo peatonales emergentes es una politica que ademas de ser practica, de bajo costo, ayuda a mantener el distanciamiento y promociona la salud de las personas. La rutas ciclo peatonales es una estrategia que se esta adoptando a nivel mundial y Guatemala carece de la articulacion de gobierno central que este velando por la poblacio que no cuenta con modos de transporte privado.",NA,NA,NA,NA
1,28,"Contribuir la protección de la vida e integración de personas del conflicto armado , lideres sociales, defensores de los derechos humanos y el ser victimas del feminicidio en Colombia.",Conflicto armado,"Realizar talleres, capacitaciones psicosociales con victimas, sobrevivientes y personas indirectas que se le violaron los derechos humanos vía virtualmente .","Aportar a doscientas (200) victimas con apoyo psicosocial cumpliendo con los objetivos del desarrollo sostenible como: Salud y bienestar, educación de calidad, igualdad de genero, paz y justicia e instituciones solidas entre otros. Cambiando a las familias que se beneficiaran en el proyecto.","Colombia esta viviendo el proceso de paz mas grande en latinoamericana, donde las victimas están en un proceso de transformación de perdón y no repetición donde el acompañamiento psicosocial y la capacitación en derechos humanos pueden aportar al crecimiento de paz del país, aportando social mente a la sociedad civil replicando el conocimiento aprendido en los talleres y capacitaciones brindadas en el proyecto.",no,"La propuesta no es una campaña de respuesta rápida, no hay un plan de trabajo claro y no se sentido de oportunidad.",NA,NA
1,29,"Generar conciencia y vigilancia ciudadana en la actual coyuntura del país, en donde los grupos de poder tradicional y redes de corrupción están a punto de consolidar una toma de los principales organismos del Estado Guatemalteco, lo cual se facilita por las condiciones de la actual pandemia que hace que la población esté atemorizada y prefiera no participar, o se muestra apática a informarse, además de que los jóvenes en muchos casos no tienen interés en estos temas. Actualmente además de la consolidación de la captura del Estado, se ha recrudecido la represión y criminalización de grupos campesinos y trabajadores, dándose desalojos que facilitarán la explotación de las tierras que deberían ser la reserva forestal y por consiguiente acuífera del país, se puede decir que estamos viviendo el corolario de las condiciones que sembró el gobierno pasado, con las acciones que desarrolló y que culminaron con la expulsión de la CICIG.",Corrupción,"Despertar conciencia ciudadana y lograr participación de los y las guatemaltecos, antes de que consolide la recaptura del Estado","Que la ciudadanía, especialmente los jóvenes se interesen y participen en acciones que hagan resistencia a los grupos tradicionales de poder y las mafias enquistadas en el gobierno.",Por que la urgencia de la coyuntura lo exige y porque concientizar a la ciudadanía es urgente en Guatemala.,no,"No es campaña, la organización de es posible encontrar o no se identifca y no hay ventana de oportunidad.",NA,NA
1,30,"Lograr que las manifestaciones artísticas como lo es la danza, el teatro, el yoga se conviertan en una vía eficaz de reflexión, exigencia y denuncia social frente a situaciones de discriminación y violencia por razón de género y etnia, incrementado a través de las manifestaciones artísticas la conciencia y la sensibilidad social sobre los derechos humanos alcanzando ser agentes de cambio.
Mas niñas, niños y jóvenes capacitados, sensibilizados, empoderados y capaces de ser generadores de cambio, disminuyendo los factores de riesgo personal y comunitario, fomentando la participación activa de la juventud en las acciones de prevención a través del arte y deporte, disminuyendo los efectos negativos de la violencia de género, así como las desigualdades sociales.",Arte,"Se pretende sobre todo el goce emocional, de niñas y niños afromexicanos, indígenas y mestizos, la reducción de la ansiedad además del contacto con otros evitando sentimientos de soledad, discriminación y violencia de género., que la danza sea un medio de expresión catártico y de acercamiento a los demás, cubriendo necesidades de bienestar, liberación, apropiación de derechos, descarga de sentimientos y poder sentir la libertad al danzar y así reivindicar a las ancestrxs que no conocieron sus derechos para ejercerlos y exigirlos.","Mayor sensibilización de la comunidad con la Participación de niñas y niños en las actividades culturales, deportivas y físicas rompiendo los estereotipos de género y formas socialmente valoradas de vivir su masculinidad y feminidad que puedan tener un impacto en la disminución de la violencia, impulsando a niñas, niños y Jóvenes con un crecimiento y compromiso personal y social al utilizar las herramientas del arte y el deporte como mecanismos útiles para visibilizar y disminuir la violencia en su comunidad y recuperar los espacios cívicos.","Durante el transcurso de la Pandemia y el confinamiento en casa, la violencia en sus diferentes expresiones se ha incrementado, por ello con este proyecto estaríamos impulsando a niñas y niños a un crecimiento y compromiso personal y social al utilizar las herramientas del arte y el deporte como mecanismos útiles para visibilizar y disminuir la violencia en su comunidad, incrementando los conocimientos de derechos humanos, discriminación, y racismo impulsando un cambio que va desde lo personal a lo social.",NA,NA,NA,NA
1,31,Poder difundir campaña en prevención de violencia sexual a padres de familias de comunidades rurales del país,Violencia sexual,Prevención de embarazos en jóvenes de áreas rurales de Guatemala,"Informar sobre la educación integral sexual, formas de prevenir embarazos en jóvenes e importancia del rol de los padres de familia.
 Este proyecto está trabajando en la prevención de embarazos de niñas, mediante el desarrollo de espacios educativos en temas de educación sexual y violencia de género, creando espacios de reflexión, guías de acción y red de apoyo psicológico, en zonas rurales del país.","Entre el 1 de enero y el 20 de mayo de 2020, el Ministerio de Salud Pública y Asistencia Social registrará 1.962 embarazos en niñas de entre 10 y 14 años.
 44.901 embarazos entre adolescentes entre 15 y 19 años, en total, el país centroamericano ha reportado este año casi 47 mil embarazos de niñas y adolescentes guatemaltecas.
 

 Nuestro proyecto está trabajando en la prevención de la violencia sexual, abuso, embarazos, tenemos datos realmente preocupantes y COVID nos lo ha puesto difícil, somos jóvenes con un proyecto ético que está comprometidos y con el desarrollo de Guatemala y al bienestar de niñas y adolescentes.",no,NA,NA,NA
1,32,"Generar espacios de aprendizaje y convivencia con el fin de disminuir por medio de la pintura mural, problemáticas de intolerancia social como fronteras invisibles, consumo de sustancia psicoactivas y manifestaciones de violencia entre los habitantes de la Comuna 15 de Santiago de Cali.",Arte,Proyecto de intervención para generar espacios de paz en la comuna 15 de Cali.,"Ocupar el tiempo de los jóvenes y así contribuir a reducir reconstruye formas y dinámicas en torno a un estado de paz y convivencia, bajo principios de reconocimiento y auto reconocimiento, respeto a la diferencia, tolerancia, paz y convivencia social.","Porque es una zona urbana vulnerable con problemáticas de fronteras invisibles, consumo de sustancia psicoactivas y manifestaciones de violencia. Los jóvenes de la ciudad en su mayoría provenientes del pacífico colombiano, son los mas propensos a sufrir este tipo de problemáticas. El muralismo, les permitirá expresar su visión de ciudad y país, que se reconozcan como seres aportantes a la sociedad en un contexto de respeto por la diferencia, incentivando el arte de la pintura con temáticas culturales propias en busca de alternativas de aprendizaje y esparcimiento familiar.",NA,NA,NA,NA
1,33,"Contribuir en el fortalecimiento de capacidades a promotores/as, autoridades tradicionales, mujeres y victimas sobre los derechos colectivos de los Pueblos Indígenas y los mecanismos del Sistema de justicia penal de Nicaragua.",Derechos pueblos indígenas,"El proyecto trata de contribuir en fortalecer a actores claves, como jóvenes, mujeres y autoridades comunitarias/os fortalezcan sus capacidades de demandas y su posicionamiento a lo interno de sus comunidades, nacional y a nivel internacional. Dispondrán de instrumentos de garantías constitucional y así como conocimientos para continuar su exigibilidad ante los mecanismos internacionales de derechos humanos.","1. Las mujeres, jóvenes y autoridades tradicionales, adquieren una serie de herramientas sobre el uso de los mecanismo de acceso a la justicia interna del país y sobre los derechos colectivos de los Pueblos Indígenas.
  2. Comunitarios/as y las autoridades comunales beneficiarias del proyecto disponen de herramientas para incidir a favor de sus derechos humanos colectivos.
  3. Contribuir el acceso a la justicia, reducir el conflicto territorial en las comunidades indígenas de la Costa Caribe de Nicaragua..","Actualmente la situación en la Región Autónoma de la Costa Caribe Norte, RACCN se ha deteriorado severamente en relación con las tierras y recursos naturales; pues ante la inacción de las autoridades correspondientes se ha generado y recrudecido conflictos;donde se ha cometido una serie de violaciones a los derechos humanos. Es evidente que la situación se viene empeorando por la inacción del Estado. Como consecuencia del incremento de la violencia y la inacción del Estado y por ende es necesario desarrollar acciones que puedan a contribuir a que los Pueblos Indígenas puedan tener acceso a la justicia sobre las violaciones a los derechos colectivos.
 Consideramos que este proceso impactara en contribuir a detener la violencia que sufren, el despojo de sus tierra indígena dentro de las comunidades indígenas impere la paz, armonía y el respeto de los derechos humanos colectivos de los Pueblos Indígenas.",no,"La propuesta no atiende una coyuntura, ventana de oportunidad. No propone una campaña/actividades de respuesta rápida.",NA,NA
1,34,"El objetivo general del proyecto es reducir los riesgos de corrupción producto de la opacidad y la inmediatez en la movilización y ejecución de recursos públicos dirigidos para la atención de los efectos económicos, sociales y de salud pública provocados por la crisis del COVID-19. Ello permitirá, a su vez, mejorar el gasto público y garantizar una mayor transparencia, rendición de cuentas y participación ciudadana en su ejecución.",Corrupción,"El proyecto propone dar a ciudadanos y organizaciones sociales locales, de tres estados de la República, herramientas para que puedan vigilar cómo se está utilizando el dinero público para la atender los efectos del COVID-19, y, a partir de ello, poner en marcha campañas de difusión que den a conocer los problemas de corrupción en el uso de estos recursos con la población en general, además de crear propuestas concretas para resolverlos con las autoridades.","El impacto deseado del proyecto es la reducción de prácticas de corrupción en la ejecución de recursos públicos dirigidos a la atención de la crisis económica y sanitaria provocada por la COVID-19, que viene de la mano con una mejora del impacto del gasto público y, por ende, una recuperación más pronta y óptima de la crisis. 
 Este impacto pasa por tres cambios importantes: empoderamiento de la ciudadanía, posicionamiento del tema en la agenda pública y creación de canales de diálogo con autoridades gubernamentales, para que éstas puedan recibir retroalimentación e implementar mejoras en sus acciones o programas.","La coyuntura actual es ideal para generar interés de la población sobre cómo se gasta el presupuesto público, pues en este momento puede verse con claridad que la corrupción cuesta vidas.
 El gasto público para acciones de atención a la crisis de la COVID-19 es escaso, pero además, existe poca claridad sobre los rubros en los que se gasta, a quiénes se destinan bienes o servicios, y si ello se da en las mejores condiciones posibles de mercado en la compra de bienes y servicios por parte del Estado. La inmediatez y ausencia de planeación dan pauta a una gran opacidad en la ejecución de estos recursos, y existe un amplio margen para su uso discrecional, por parte de los actores que intervienen, ya sean gubernamentales y/o privados. Asimismo, el conocimiento y capacidades de los actores de sociedad civil en lo local, tanto para identificar riesgos de corrupción en la implementación de programas, como para incidir en su reducción, es limitado.
 La respuesta actual por parte de las autoridades aún es insuficiente frente a la amplitud de los retos para atender los efectos de la COVID-19. Se espera que el número de acciones y programas de gobierno para la recuperación post COVID-19 vayan aumentando en los próximos meses, y se etiquete gasto específico en el presupuesto 2021. Por lo anterior, detectar riesgos de corrupción en una etapa temprana permitirá ajustar las próximas acciones por ser implementadas, buscando incrementar su impacto.",no,La propuesta es relevante pero no responde a una ventana de oportunidad. No es tampoco una campaña.,NA,NA
1,35,Impactar positivamente en el mejoramiento de la Calidad de Vida de los adultos mayores utilizando estrategias disruptivas con apropiación de las TIC y conceptos de Economía Naranja,Derechos adultos mayores,Impactar positivamente en la Calidad de Vida del adulto mayor utilizando la tecnología y generando interrelaciones a lo largo y ancho del planeta,Generar condiciones de vida digna,Porque la actual Pandemia ha representado importantes retos hacia el acompañamiento de este grupo poblacional agravando las condiciones naturales del avance de los años,no,"La propuesta no atiende una coyuntura, ventana de oportunidad. No propone una campaña/actividades de respuesta rápida.",NA,NA
1,36,"Hacer campaña para visibilizar los derechos humanos de la población vulnerable de artistas que por Covid19 quedaron desprotegidos, sin casa, sin trabajo y sin futuro real.",Arte,"Visibilizar el grupo vulnerable de artistas para ayudar a la población a defender sus derechos y su calidad de ciudadanos del mundo, que dan su vida por ,os otros y nadie los está ayudando","Que la sociedad se de cuenta de que un artistas en estos tiempos se ha quedado en el abandono y que es una nueva población vulnerable, gracias a esta campaña queremos ayudarlos.","Por qué a seis meses de pandemia, los artistas están perdiendo todo su patrimonio y ayudarlos es ayudar al alma de los pueblos, un pueblo que no canta, que no baila, es un pueblo que no siente.",NA,NA,NA,NA
1,37,Formar a través de la musica a niñ@s y jovenes de la comunidad indigena Embera Chami del municipio de Valparaíso Antioquia,Arte,Creación de la primera filarmonica indigena de Colombia,"Recuperar las raíces culturales y restablecer los derechos de la comunidad indigena, con el proyecto permitirá potencializar y visibilizar la labor que hacemos como Fundación.","Ahora más que nunca necesitamos la unión de varias organizaciones para no dejar morir lo que hemos construido, con su apoyo potencializaremos el proyecto.",no,El objetivo de la propuesta no es esta relacionado al objetivo del FRR. No proponen una campaña.,NA,NA
1,38,"Desde o inicio do isolamento social(Covid-19), a Camtra criou um grupo CAMTRA-COVID que atualmente constam 26 grupos de mulheres e coletivos de troca e solidariedade. No inicio apoiamos com cestas básicas(200), material de higiene, entregamos mais 20.000 mil preservativos masculinos, 1.500 preservativos femininos, 8000 cartilhas de que aborda a violência domestica, feminicidio, relacionamentos abusivos e locais de atendimento as mulheres vitimas de violência. Temos produzido os grupos de mulheres que repassam as outras mulheres os cards que temos reproduzidos via whatsaap: semanalmente textos e cards sobre a Lei Maria da Penha, Feminicidio, Juizados de Atendimientos as Mulheres, DEAMS e Centros de atendimentos as mulheres e o calendário do Auxilio Emergencial este sendo um dos mais procurado, tendo em vista o órgão responsavel pela a liberacão do mesmo tem feito bastante confusão e ainda temos 11.000 milhoes de pessoas que não não acessaram que ficaram fora do auxilio emergencial. Através das nossas midias sociais temos recebidos pedidos de apoio para ajudarem a conseguir o apoio emergencial e encaminhamos aos órgaos competentes. Este não é somente o nosso trabalho, porém neste momento direcionamos nossas campanhas e recursos, que não são muitos a apoiar e investir na informação direta e simples a quem mais necessita neste moemnto. O apoio que estamos solicitando contribuir com a produção de material infomativo, campanhas e produção de conteúdos nas midias da instituição e compartilhar com os grupos e coletivos de mulheres: concomitante as campanhas daremos continuidade aos cursos de midias sociais, direitos e sustentabilidade e mrosc às lideranças femininas das regioes sudeste, sul, centro oeste,nordeste e norte. Ao final pretedemos a contrução de uma rede de solidariedade e sustentabilidade para as organizações de mulheres e coletivos, para criarem melhores condiçoes para atuarem em seus territorios.",,"Campanhas de utilidade pública, formação e enfretamento a violência contra as mulheres e conhecimento sobre o Marco Regulatório das OSCs.","- mais mulheres acessando os órgaos voltados a politica violência de enfrenatemnto a violência doméstica e contra as meninas e mulheres; . Mais mulheres recebendo auxilio emergencial;
 - mulheres lideranças usando as midias sociais com maior conhecimento e segurança;","O apoio vai garantir a continuidade das ações iniciadas com mais intensidade neste periodo do COVID-19, Incluisive apoio de respostas rápidas nos possibiltará ampliar continuarmos com nossa Equipe de trabalho e investir na area de comunicação, como essencial para chegarmos a grande maioria das mulheres e da polução em geral. Entendermos hoje que a grande maioria da população usa whatsaap para se comunicar e talves seja o meio de comunicação mais usado por elas é fundamental aprendermos a utilizarmos estas ferramentas e usa-las a serviço da formaçaõ e informação. Por esta razão comprendemos este apoio ser importante neste momento, para além de apoiar a insituição acontinuar funcionando.",si,Esta propuesta enmarca acciones específicas ante la coyntura de Covid en temas de violencia de género en Brasil. Revisar relvancia para Pulsante,NA,NA
1,39,"Fortalecer el tejido social para posicionar en el debate público la necesidad de gravar las grandes fortunas de forma que se genere presión en los tomadores de decisiones sobre la necesidad de aumentar los recursos públicos con impuestos al patrimonio, riqueza y ganancias de capital de los más ricos para enfrentar la pobreza y la desigualdad en el escenario pos pandemia.",Corrupción,"Realizar eventos virtuales nacionales con parlamentarios/as y dirigentes sociales para discutir fórmulas para la tributación de la riqueza. Estos eventos se realizan mediante las organizaciones nacionales que integran Latindadd. Asimismo, desarrollar productos comunicacionales sobre el impuesto a la riqueza.",Se esperan 3 resultados: 1) Organizaciones que integran Latindadd incluyen en sus demandas la tributación de las grandes fortunas. 2) Aumenta el debate público sobre la necesidad de hacer pagar más a las grandes fortunas. 3) Se incide y apoya a parlamentarios/as para proponer reformas tributarias que aumenten la tributación de las grandes fortunas.,"En el escenario de pandemia, la extrema desigualdad aumentará, y además no todos pierden con la pandemia. En medio de este desastre que golpea especialmente a América Latina, empresas los milmillonarios han aumentado sus fortunas en la región (Oxfam, 2020). Además se parte de la situación de que la concentración de riqueza e ingresos es altísima y la tributación tanto de la riqueza como de la renta de los grupos de más altos ingresos es un capítulo pendiente desde antes de la pandemia. El 1% más rico de América Latina y el Caribe concentraban el 41% de la riqueza (Credit Suisse, 2019). En Brasil, el 1% más rico llegó a concentrar un 27% del ingreso, 23% en Chile y 21% en Colombia (CEPAL, 2019). Esta situación empeorará.
 

 Gravar las grandes fortunas debería ser una importante opción a la hora de financiar los costos y la recuperación de la pandemia sin afectar la actividad económica. Es llamativo que los impuestos al patrimonio recauden tan poco y que hasta hayan reducido su recaudación en el tiempo. De 1990 a 2015, los impuestos al patrimonio han pasado de explicar un 4.5% de la recaudación promedio regional a un 3.8% (CEPAL, 2018, p. 46), representando tan solo un 0.8% del PIB.",no,La propuesta no está vinculada a una campaña conectacta a una ventana de oportunidad. Temática alehada de los ejes de Pulsante.,NA,NA
1,40,"Promover la integración social, económica y política de los repartidores, mediante la creación de una campaña de movilización digital en la que participen líderes y activistas, para sensibilizar a más de 50.000 colombianos sobre la importancia de frenar la precarización laboral de los trabajadores de apps de domicilios.",Derechos laborales,Vamos a hacer una campaña masiva de movilización ciudadana para presionar a tomadores de decisión para que acaben con la explotación laboral de los repartidores. La idea es sensibilizar a la ciudadanía y presionar al sector público y privado con una petición que impulse un proyecto de ley para regular la contratación de apps en beneficio de los derechos laborales de los repartidores.,Queremos que la opinión pública colombiana apoye a los repartidores para presionar a tomadores de decisión para que mejoren realmente las condiciones laborales de los repartidores y que sus gremios puedan organizarse creando un movimiento social que con una campaña digital que llegue a más de 50.000 mil colombianos.,"Los gremios de repartidores no cuentan con herramientas, conocimientos digitales y recursos para crear un movimiento social y generar una teoría de cambio que mejore sus condiciones laborales. Es un momento único de crecimiento exponencial del uso de plataformas de domicilios. Apps como Rappi sólo en este año han duplicado el número de repartidores sin que este implique mejorar sus condiciones, al contrario las denuncias masivas de condiciones precarias y accidentes de rappitenderos sigue creciendo. La dinámica de uberización de la economía debe regularse a través de una ciudadanía más consciente alrededor de la precarización laboral. Es urgente empujar una movilización ciudadana alrededor de este tema, sensibilizar a la población colombiana y trabajar de cerca con los repartidores para que en dialogo con tomadores de decisión generen un movimiento potente que mejore estas plataformas y en la que de la mano de legislaciones y el gobierno se mejoren sus condiciones sociales.",si,"Propuesta que cumple con los criterios establecidos. Ventana de oportundidad clara, campaña de movilización social.",NA,NA
1,41,"es resolver conflictos sociales de la comunidad, tener los materiales de trabajo, montar una biblioteca publica, tener semillas para sembrar la tierra, y cultivar frutos, para una vida mejor.",Educación ,es que tengamos mas union buena convivencia y una biblioteca pública,"sembrar cultivar y cosechar una sociedad más educada, honrada, justa","porque nos cambia la vida, con educacion , sabiduría y el temor de DIOS",NA,NA,NA,NA
